PubNum,PubDate,PubMainClass,PubSubClass,PubNumClaims
US04111115,1978-09-05,100,116,7
US04111114,1978-09-05,100,100,15
US04111113,1978-09-05,100,74,5
US04109571,1978-08-29,100,35,10
US04108065,1978-08-22,100,215,2
US04108064,1978-08-22,100,187,4
US04108063,1978-08-22,100,352,8
US04108062,1978-08-22,100,11,14
US04108061,1978-08-22,100,7,23
US04106633,1978-08-15,100,207,10
US04106405,1978-08-15,100,162B,8
US04106404,1978-08-15,100,117,11
US04106403,1978-08-15,100,25,11
US04104964,1978-08-08,100,232,15
US04104963,1978-08-08,100,176,8
US04104962,1978-08-08,100,100,12
US04104961,1978-08-08,100,300,4
US04104960,1978-08-08,100,25,7
US04103611,1978-08-01,100,257,6
US04103610,1978-08-01,100,232,3
US04103609,1978-08-01,100,218,3
US04103608,1978-08-01,100,345,19
US04102263,1978-07-25,100,74,1
US04102262,1978-07-25,100,353,25
US04102261,1978-07-25,100,24,15
US04102260,1978-07-25,100,24,9
US04102259,1978-07-25,100,3,3
US04100850,1978-07-18,100,287,24
US04100849,1978-07-18,100,41,7
US04099458,1978-07-11,100,116,8
US04099457,1978-07-11,100,42,3
US04098182,1978-07-04,100,121,6
US04098181,1978-07-04,100,102,2
US04098180,1978-07-04,100,98A,1
US04096799,1978-06-27,100,215,3
US04096798,1978-06-27,100,346,18
US04096797,1978-06-27,100,39,6
US04096796,1978-06-27,100,35,6
US04095523,1978-06-20,100,282,5
US04095522,1978-06-20,100,214,8
US04095521,1978-06-20,100,219,10
US04095520,1978-06-20,100,43,10
US04095519,1978-06-20,100,35,1
US04094240,1978-06-13,100,97,5
US04094239,1978-06-13,100,5,8
US04092917,1978-06-06,100,176,1
US04092916,1978-06-06,100,174,5
US04092915,1978-06-06,100,319,11
US04092914,1978-06-06,100,88,3
US04092913,1978-06-06,100,31,10
US04092912,1978-06-06,100,3,4
US04091725,1978-05-30,100,45,16
US04091724,1978-05-30,100,21,10
US04091723,1978-05-30,100,4,9
US04090441,1978-05-23,100,7,10
US04090440,1978-05-23,100,4,5
US04088072,1978-05-09,100,283,10
US04088071,1978-05-09,100,245,8
US04088070,1978-05-09,100,121,7
US04088069,1978-05-09,100,88,4
US04088068,1978-05-09,100,3,4
US04086850,1978-05-02,100,42,8
US04085669,1978-04-25,100,346,4
US04084499,1978-04-18,100,231,12
US04084498,1978-04-18,100,210,14
US04084497,1978-04-18,100,345,26
US04084496,1978-04-18,100,35,36
US04084495,1978-04-18,100,34,2
US04083298,1978-04-11,100,214,9
US04083297,1978-04-11,100,19R,10
US04082034,1978-04-04,100,240,8
US04080891,1978-03-28,100,215,2
US04080890,1978-03-28,100,170,15
US04080889,1978-03-28,100,52,16
US04080888,1978-03-28,100,47,1
US04080887,1978-03-28,100,35,7
US04080886,1978-03-28,100,4,11
US04079668,1978-03-21,100,214,6
US04079667,1978-03-21,100,2,25
US04078454,1978-03-14,100,145,8
US04077316,1978-03-07,100,163R,9
US04077315,1978-03-07,100,88,6
US04077314,1978-03-07,100,26,1
US04077313,1978-03-07,100,2,13
US04075942,1978-02-28,100,42,17
US04075941,1978-02-28,100,19R,4
US04074624,1978-02-21,100,35,15
US04074623,1978-02-21,100,3,10
US04073229,1978-02-14,100,98R,5
US04073228,1978-02-14,100,52,10
US04073227,1978-02-14,100,52,17
US04072097,1978-02-07,100,100,3
US04072096,1978-02-07,100,341,4
US04072095,1978-02-07,100,5,9
